JOBID NAME STATE NODELIST(REASON)
1288536 raw-half-distill-t PENDING (Priority)
1288537 half-distill-t-baseline PENDING (Priority)
1288499 paper-preflight_anet_s_point_full_seed3407 PENDING (Priority)
1288505 fpw-train_R02_tcn_b PENDING (Priority)
1288520 paper-train_thumos_s_point_full_seed3407 PENDING (Priority)
1288521 paper-train_thumos_b_point_full_seed3407 PENDING (Priority)
1288522 paper-train_thumos_b_tadtr_full_seed3407 PENDING (Priority)
1288523 paper-train_thumos_s_point_full_finetune_seed3407 PENDING (Priority)
1288524 paper-train_thumos_s_point_mae_pretrained_seed3407 PENDING (Priority)
1288525 paper-train_thumos_s_tadtr_full_seed3407 PENDING (Priority)
1288466 paper-anet-prepare PENDING (Priority)
1288541 seed-cure PENDING (Priority)
1288497 bmcr80-b_test_70 PENDING (Priority)
1287823 interactive RUNNING g0045
1287130 scripted_gpu RUNNING g0006
